mandal,date,year,month,week,rainfall,temp_min,temp_max,humidity_min,humidity_max
Achampet,2019-10-06,2019,Oct,40,4.0,22.95714285714286,32.75238095285714,68.18095238142857,98.01904761857143
Achampet,2019-10-13,2019,Oct,41,1.885714285714286,22.85714285714286,31.78571428571428,78.28571428571429,98.24285714285715
Achampet,2019-10-20,2019,Oct,42,1.528571428571428,23.15714285714285,30.81428571428571,80.07142857142857,98.92857142857143
Achampet,2019-10-27,2019,Oct,43,1.214285714285714,22.9,30.52857142857143,78.95714285714287,99.97142857142856
Achampet,2019-11-03,2019,Nov,44,0.08571428571428572,22.45714285714286,31.12857142857143,69.31428571428572,98.71428571428571
Achampet,2019-11-10,2019,Nov,45,0.0,20.77142857142857,33.18571428571429,51.95714285714286,98.75714285714285
Achampet,2019-11-17,2019,Nov,46,0.05714285714285715,20.17142857142857,30.84285714285715,57.58571428571429,96.24285714285715
Achampet,2019-11-24,2019,Nov,47,0.0,19.28571428571428,31.04285714285714,53.85714285714285,95.5
Achampet,2019-12-01,2019,Dec,48,0.0,18.44285714285714,29.81428571428571,53.62857142857143,95.85714285714286
Achampet,2019-12-08,2019,Dec,49,0.5285714285714286,18.37619047571429,26.72380952428571,60.39047619142857,95.18095238142857
Achampet,2019-12-15,2019,Dec,50,0.0,16.78095238,29.30952380857143,46.52380952428571,95.47142857142856
Achampet,2019-12-22,2019,Dec,51,0.0,16.99523809571429,28.84761904714286,46.19523809571428,96.85238095142857
Achampet,2019-12-29,2019,Dec,52,0.0,17.94285714285714,28.70952380857143,48.97619047428572,91.64285714285714
Achampet,2020-01-05,2020,Jan,1,1.114285714285714,18.97619047714286,27.97142857142857,58.67619047714286,93.24761904714286
Achampet,2020-01-12,2020,Jan,2,0.0,18.4,28.25714285714286,61.24285714285714,92.62857142857142
Achampet,2020-01-19,2020,Jan,3,0.0,16.25714285714286,30.27142857142857,34.74285714285714,89.08571428571429
Achampet,2020-01-26,2020,Jan,4,0.0,16.62857142857143,31.47142857142857,35.61428571428571,84.52857142857144
Achampet,2020-02-02,2020,Feb,5,0.0,19.2,32.51428571428571,37.24285714285714,86.85714285714286
Achampet,2020-02-09,2020,Feb,6,0.0,18.82857142857143,31.71428571428572,44.05714285714286,90.04285714285713
Achampet,2020-02-16,2020,Feb,7,0.0,19.02857142857143,30.72857142857143,54.94285714285714,89.01428571428572
Achampet,2020-02-23,2020,Feb,8,0.0,17.48571428571428,32.38571428571429,35.04285714285714,90.65714285714286
Achampet,2020-03-01,2020,Mar,9,0.0,19.74285714285714,32.48571428571428,40.81428571428571,91.22857142857143
Achampet,2020-03-08,2020,Mar,10,0.0,21.48571428571429,33.2,44.27142857142857,88.55714285714285
Achampet,2020-03-15,2020,Mar,11,0.4714285714285714,21.27142857142857,33.78571428571428,45.38571428571429,92.48571428571428
Achampet,2020-03-22,2020,Mar,12,0.4714285714285714,21.45714285714286,35.62857142857143,37.98571428571428,89.57142857142857
Achampet,2020-03-29,2020,Mar,13,0.0,22.34285714285715,35.71428571428572,34.11428571428571,81.45714285714287
Achampet,2020-04-05,2020,Apr,14,0.0,23.7,36.84285714285714,33.95714285714286,69.45714285714286
Achampet,2020-04-12,2020,Apr,15,4.757142857142857,22.31428571428571,35.14285714285715,47.14285714285715,88.51428571428572
Achampet,2020-04-19,2020,Apr,16,0.0,24.01428571428571,36.74285714285714,25.88571428571428,71.34285714285714
Achampet,2020-04-26,2020,Apr,17,0.6857142857142857,24.3,36.92857142857143,38.31428571428571,80.57142857142857
Achampet,2020-05-03,2020,May,18,2.228571428571429,24.82857142857143,36.75714285714286,43.57142857142857,86.88571428571429
Achampet,2020-05-10,2020,May,19,0.5142857142857143,26.38571428571428,37.0,45.45714285714286,82.57142857142857
Achampet,2020-05-17,2020,May,20,0.0,25.5,36.94285714285714,38.95714285714286,78.77142857142857
Achampet,2020-05-24,2020,May,21,0.2857142857142857,27.55714285714286,39.47142857142858,23.88571428571428,80.45714285714287
Achampet,2020-05-31,2020,May,22,2.628571428571429,27.88571428571428,38.84285714285715,40.04285714285714,84.32857142857142
Achampet,2020-06-07,2020,Jun,23,10.81428571428571,24.05714285714286,33.98571428571429,52.54285714285714,91.14285714285714
Achampet,2020-06-14,2020,Jun,24,0.9,24.0,31.95714285714286,65.64285714285714,92.68571428571428
Achampet,2020-06-21,2020,Jun,25,4.928571428571429,24.04285714285714,32.01428571428571,66.44285714285715,93.81428571428572
Achampet,2020-06-28,2020,Jun,26,1.628571428571429,24.58571428571429,33.14285714285715,64.25714285714285,93.28571428571429
Achampet,2020-07-05,2020,Jul,27,3.728571428571429,24.29047619142857,31.97619047714286,66.29047619142857,95.71428571285715
Achampet,2020-07-12,2020,Jul,28,1.628571428571429,23.69047619285714,30.32857142857143,72.8761904757143,96.84761904857143
Achampet,2020-07-19,2020,Jul,29,3.528571428571429,23.70952380857143,29.69523809571428,76.35238095285715,97.57619047714286
Achampet,2020-07-26,2020,Jul,30,1.414285714285714,23.20952380857143,30.69523809428571,68.66666666571429,98.12857142857142
Achampet,2020-08-02,2020,Aug,31,8.342857142857143,23.52857142714286,31.11904761857143,70.36190476142858,97.30476190428571
Achampet,2020-08-09,2020,Aug,32,5.600000000000001,23.29047619,29.45714285857143,86.11428571428571,97.39523809428572
Achampet,2020-08-16,2020,Aug,33,20.41428571428571,22.03333333285714,26.31904761857143,92.28095238285714,98.06666666571428
Achampet,2020-08-23,2020,Aug,34,8.0,22.69523809571428,27.41428571428571,91.65714285857143,97.52380952285715
Achampet,2020-08-30,2020,Aug,35,1.114285714285714,23.26190476428571,29.40476190571428,86.36666666714287,97.28095237857143
Achampet,2020-09-06,2020,Sep,36,5.0,22.75238095285714,31.74285714285714,71.11904761857143,98.08571428571429
Achampet,2020-09-13,2020,Sep,37,0.2714285714285715,23.01428571428571,32.05714285714286,68.1,98.18571428571428
Achampet,2020-09-20,2020,Sep,38,24.41428571428571,22.71428571428572,27.1,88.44285714285715,98.48571428571428
Achampet,2020-09-27,2020,Sep,39,5.342857142857143,22.64285714285714,28.51428571428571,86.92857142857143,97.89999999999999
Achampet,2020-10-04,2020,Oct,40,12.3,22.23333333333333,30.33333333333333,85.8,98.60000000000001
Achampet,2021-04-04,2021,Apr,13,0.0,23.6,39.9,6.175,63.275
Achampet,2021-04-11,2021,Apr,14,0.0,21.92857142857143,37.72857142857143,16.24285714285714,86.41428571428571
Achampet,2021-04-18,2021,Apr,15,0.09999999999999999,21.9,37.48571428571428,16.98571428571429,82.07142857142857
Achampet,2021-04-25,2021,Apr,16,0.3428571428571429,22.5,36.85714285714285,25.81428571428571,87.89999999999999
Achampet,2021-05-02,2021,May,17,0.2222222222222222,23.47777777777778,38.2,11.4,62.07777777777778
Achampet,2021-05-09,2021,May,18,0.0,24.65714285714285,37.71428571428572,9.65,38.2
Achampet,2021-05-16,2021,May,19,3.328571428571429,24.58571428571429,36.58571428571429,17.61428571428571,43.76428571428572
Achampet,2021-05-23,2021,May,20,3.714285714285714,25.52857142857143,34.71428571428572,39.31428571428571,89.18571428571428
Achampet,2021-05-30,2021,May,21,0.1428571428571428,25.34285714285715,35.78571428571428,31.04285714285714,81.38571428571429
Achampet,2021-06-06,2021,Jun,22,4.4,24.38571428571428,34.4,45.74285714285714,90.25714285714285
Achampet,2021-06-13,2021,Jun,23,0.5571428571428572,24.91428571428571,33.18571428571429,44.15714285714286,89.54285714285713
Achampet,2021-06-20,2021,Jun,24,1.557142857142857,24.55714285714286,31.8,53.2,92.24285714285715
Achampet,2021-06-27,2021,Jun,25,5.885714285714286,24.88571428571428,33.02857142857142,40.18571428571429,83.38571428571429
Achampet,2021-07-04,2021,Jul,26,0.1857142857142857,24.88571428571428,31.74285714285714,61.64285714285715,95.97142857142856
Achampet,2021-07-11,2021,Jul,27,10.74285714285714,24.05714285714286,32.44285714285714,59.57142857142857,98.77142857142857
Achampet,2021-07-18,2021,Jul,28,4.571428571428571,23.14285714285714,28.37142857142857,87.89999999999999,100.0
Achampet,2021-07-25,2021,Jul,29,5.028571428571428,22.92857142857143,28.2,85.24285714285715,99.88571428571429
Achampet,2021-08-01,2021,Aug,30,0.0,23.67142857142857,30.87142857142857,67.5,98.41428571428571
Achampet,2021-08-08,2021,Aug,31,0.1285714285714286,24.1,32.3,53.35714285714285,97.61428571428571
Achampet,2021-08-15,2021,Aug,32,0.8428571428571429,25.14285714285714,32.41428571428572,55.14285714285715,92.82857142857142
Achampet,2021-08-22,2021,Aug,33,2.728571428571429,23.1,28.74285714285714,80.18571428571428,100.0
Achampet,2021-08-29,2021,Aug,34,3.271428571428571,23.08571428571429,31.21428571428572,74.85714285714286,99.91428571428571
Achampet,2021-09-05,2021,Sep,35,11.08571428571429,22.48571428571429,28.61428571428572,80.65714285714286,99.92857142857143
Achampet,2021-09-12,2021,Sep,36,3.128571428571429,22.92857142857143,28.84285714285715,82.12857142857142,100.0
Achampet,2021-09-19,2021,Sep,37,0.8428571428571429,23.24285714285714,30.81428571428571,73.64285714285714,100.0
Achampet,2021-09-26,2021,Sep,38,5.657142857142857,23.21428571428572,31.25714285714286,73.3,100.0
Achampet,2021-10-03,2021,Oct,39,0.7714285714285715,22.98571428571429,30.85714285714286,78.88571428571429,99.81428571428572
Achampet,2021-10-10,2021,Oct,40,10.82857142857143,22.57142857142857,32.28571428571428,72.5,100.0
Achampet,2021-10-17,2021,Oct,41,1.571428571428571,22.07142857142857,32.54285714285714,60.54285714285714,100.0
Achampet,2021-10-24,2021,Oct,42,0.0,22.5,32.75714285714286,51.35714285714285,99.77142857142857
Achampet,2021-10-31,2021,Oct,43,3.228571428571429,20.07142857142857,31.27142857142857,51.37142857142857,96.91428571428571
Achampet,2021-11-07,2021,Nov,44,1.185714285714286,21.11428571428572,29.82857142857143,74.34285714285714,100.0
Achampet,2021-11-14,2021,Nov,45,0.7714285714285715,19.64285714285714,28.58571428571429,63.85714285714285,99.34285714285714
Achampet,2021-11-21,2021,Nov,46,4.557142857142857,22.55714285714286,28.02857142857143,80.34285714285714,99.60000000000001
Achampet,2021-11-28,2021,Nov,47,0.0,20.97142857142857,30.62857142857143,70.24285714285715,100.0
Achampet,2021-12-05,2021,Dec,48,0.2285714285714286,19.68571428571429,28.87142857142857,65.72857142857143,100.0
Achampet,2021-12-12,2021,Dec,49,0.3571428571428572,19.52857142857143,30.74285714285714,55.61428571428571,100.0
Achampet,2021-12-19,2021,Dec,50,0.0,16.15714285714285,29.07142857142857,48.11428571428571,100.0
Achampet,2021-12-26,2021,Dec,51,0.0,13.21428571428571,30.18571428571429,29.34285714285715,98.72857142857143
Achampet,2022-01-02,2022,Jan,52,0.0,17.25714285714286,30.54285714285714,44.07142857142857,100.0
Achampet,2022-01-09,2022,Jan,1,0.0,17.22857142857143,29.85714285714286,42.02857142857142,100.0
